#,จังหวัด,ปีที่สำรวจ,นักดื่ม,นักดื่ม 15-19 ปี,นักดื่มหนัก,ดื่มแล้วขับ,ซื้อสุรานอกเวลาที่กฎหมายกำหนด,ความรุนแรงในครัวเรือน,อุบัติเหตุจราจร
,,,(%),(%),(% ของนักดื่ม),(% ของนักดื่ม),(% ของนักดื่ม),(%),(%)
,กระบี่,2564,23.6,10.7,24.2,21,6.6,0.9,0.4
,กรุงเทพมหานคร,2564,27.2,9.9,35,16.1,8.9,1.4,0.5
,กาญจนบุรี,2564,27.7,6.6,32.3,27.3,4,1,0.3
,กาฬสินธุ์,2564,30.1,6.6,33,49.1,31.5,4.8,0.3
,กำแพงเพชร,2564,34.8,10.5,9.4,18.6,4.1,0.4,0.2
,ขอนแก่น,2564,39.9,14.3,56.4,47.2,49.4,3.6,2.3
,จันทบุรี,2564,33.4,14.8,32.9,18.6,11.3,1.3,0.4
,ฉะเชิงเทรา,2564,20.9,1.4,25.5,28.8,9.6,1.5,0.7
,ชลบุรี,2564,33.2,8.7,39.2,32,8.7,0.6,0.1
,ชัยนาท,2564,26,7.5,37.5,29.4,13.2,1.4,0.5
,ชัยภูมิ,2564,28,4.7,48.5,31.4,10.4,2.2,0.4
,ชุมพร,2564,20.6,6.2,30.8,33.4,18,0.7,0.4
,ตรัง,2564,22.4,7.9,29.7,61.9,4.7,1.4,0.2
,ตราด,2564,28.5,5.1,20.4,34.4,7.7,0.5,0.3
,ตาก,2564,19.7,2.9,47.3,29.2,6,0.8,0.2
,นครนายก,2564,23.4,6.9,23.6,25,24.4,0.3,0.2
,นครปฐม,2564,22.4,9.3,36.9,13.3,8.5,2.4,0.4
,นครพนม,2564,34.7,14.3,44.1,52.3,19.9,3.6,0.4
,นครราชสีมา,2564,27.1,15.4,27.5,23.9,3.4,1.6,0.3
,นครศรีธรรมราช,2564,21.4,4.6,22.6,28.4,11.6,1.6,0.3
,นครสวรรค์,2564,21.6,10.1,32.8,32.4,18.8,3.7,2
,นนทบุรี,2564,27.3,4.9,32.3,15.7,9.1,1.7,0.4
,นราธิวาส,2564,2.4,0,35.8,13.6,2.8,0.3,0.3
,น่าน,2564,43.3,11.1,61,60.4,16,4.3,0.5
,บึงกาฬ,2564,29.9,16.2,41,37.3,44.4,2.8,1.4
,บุรีรัมย์,2564,31.5,8.7,21.5,14,41.9,3.9,3.1
,ปทุมธานี,2564,32,10.1,35.9,21.8,6.6,2.5,0.5
,ประจวบคีรีขันธ์,2564,27,5.7,19.3,29.9,9.2,1,0.7
,ปราจีนบุรี,2564,26.3,4.9,34.3,22.2,4.7,3.9,0.5
,ปัตตานี,2564,1.6,0,25.4,9.2,1,0.3,0.8
,พระนครศรีอยุธยา,2564,24.5,4,45.7,31.5,7.2,2,0.8
,พะเยา,2564,40.7,14.3,49.8,56.2,6.3,1.5,0.2
,พังงา,2564,14.4,1.4,17.7,20,2.5,0.5,0.1
,พัทลุง,2564,21,3.6,14.1,37.9,11.6,1,0.8
,พิจิตร,2564,19.7,3.7,30.4,40.4,5.4,1,0.5
,พิษณุโลก,2564,30.7,13.6,40.6,43.3,8.6,2.2,0.3
,ภูเก็ต,2564,26,5.7,37,33.6,7.8,0.9,0.1
,มหาสารคาม,2564,29.2,10.7,31.5,26.5,26.1,1.8,1.1
,มุกดาหาร,2564,38.6,17,50.6,60.8,16,3,1.5
,ยะลา,2564,3.3,0.5,27.4,11.3,2.5,0.3,0.4
,ยโสธร,2564,32.8,14.1,44.1,55.6,19.5,3.2,0.4
,ร้อยเอ็ด,2564,30.9,7.5,36.5,29.9,24.7,1.3,1.4
,ระนอง,2564,16.9,1.9,46.1,38,12.3,1.4,0.3
,ระยอง,2564,25.2,10.1,47.9,37.4,19.7,0.8,0.6
,ราชบุรี,2564,24.8,9.7,34.3,33.2,22.7,0.6,0.5
,ลพบุรี,2564,33.5,7.9,41.9,23.1,32.1,3.7,0.8
,ลำปาง,2564,36.5,11.9,31,41.6,3.5,0.9,0.3
,ลำพูน,2564,37.1,7.8,44.6,55.7,0.9,0.7,0.2
,ศรีสะเกษ,2564,26.9,7.3,44.9,32.8,8.8,1.1,0.7
,สกลนคร,2564,30.5,12.8,32.4,35.5,13.6,3.2,1.3
,สงขลา,2564,16.4,4.6,31.7,50.9,8,1.1,0.5
,สตูล,2564,9.8,4.4,30.6,51.1,5.5,0.8,0
,สมุทรปราการ,2564,27.1,4.6,30.9,15.2,10.7,0.6,0.2
,สมุทรสงคราม,2564,12.6,3.6,26.3,30.7,11.3,0,0.1
,สมุทรสาคร,2564,24.4,6.7,43.1,25.7,3.7,0.7,0.2
,สระบุรี,2564,23.2,7.3,41.1,28.5,19.5,1.5,0.4
,สระแก้ว,2564,41,21.2,32.4,21.6,14.1,3,1.1
,สิงห์บุรี,2564,18.7,2.4,16.2,25,1.7,0.4,0.4
,สุพรรณบุรี,2564,15.1,6.2,16.8,41.8,1.5,0.6,0.2
,สุราษฎร์ธานี,2564,19.6,2.9,27.8,24.8,9.6,0.9,0.6
,สุรินทร์,2564,39.2,20.5,18.3,35.3,6.2,4.1,0.3
,สุโขทัย,2564,30,11.3,38.6,48.7,4.4,2.9,0.1
,หนองคาย,2564,32.2,7.7,33.3,42.2,1.9,2.2,1.2
,หนองบัวลำภู,2564,31.8,14.4,19.9,21.1,8.5,1.1,0.6
,อ่างทอง,2564,22.1,7.8,24.7,33.3,3.3,0.6,0.3
,อำนาจเจริญ,2564,32.2,18.9,25.9,17.2,13.6,2,0.7
,อุดรธานี,2564,32.4,12.1,44.9,29.7,32.6,2,0.8
,อุตรดิตถ์,2564,31.1,15,38.2,34.8,9.8,1.7,1
,อุทัยธานี,2564,27.1,8.4,39.9,45.3,12.1,1.2,0.6
,อุบลราชธานี,2564,35.8,4.4,37.8,28.9,39.8,1.5,1.3
,เชียงราย,2564,41.4,8.5,56.8,67.5,15.3,6.9,1.1
,เชียงใหม่,2564,35,10.1,38.4,45.3,8.8,1,0.3
,เพชรบุรี,2564,21.1,2.5,34.9,37.9,14.2,0.1,0.2
,เพชรบูรณ์,2564,35.2,17.3,28.9,43.2,13.4,4,0.5
,เลย,2564,33.6,15.3,47.6,46.9,13.8,1.5,1.7
,แพร่,2564,42.9,0,0,0,5.7,1.1,0.3
,แม่ฮ่องสอน,2564,27.8,0,0,0,12.9,2.2,0.8
